questionID,course.x,exam_type,creation_dt,creation_time,creation_dt_time.x,examID.x,weekday,marked,minutes_used,correct,q_ordinal,a_ordinal,difficulty,section_minor,section_major,nth_exam,nth_e_or_q,total_exam_time,num_questions,total_correct,exceed_time_limit,EL_begin,EL_change,EL_end,examID,course,creation_dt_time,hrs_since_previous,hrs_since_previous_e
2017-11-21 00:01:17.1090237 +00:0031914.89,MFE,q,2017-11-21,18H 48M 17S,2017-11-21T00:01:17Z,MFE2017-11-21 00:01:17,Tuesday,0,5.316666666666666,1,1,3,4.89,Option Basics|Options: Basics,Options|Introduction to Forwards and Options,66,77,69.25,10,15,FALSE,5.38,1.36,6.26,MFE2017-11-21 00:01:17,MFE,2017-11-21T00:01:17Z,0.871103093359205,NA
2017-11-21 00:01:17.1090237 +00:0044853.58,MFE,q,2017-11-21,18H 48M 17S,2017-11-21T00:01:17Z,MFE2017-11-21 00:01:17,Tuesday,0,7.466666666666667,1,5,5,3.58,Comparing Contracts|Comparing Options,Introduction to Forwards and Options|Options,66,77,69.25,10,15,FALSE,5.38,1.36,6.26,MFE2017-11-21 00:01:17,MFE,2017-11-21T00:01:17Z,0.871103093359205,NA
2017-11-21 00:01:17.1090237 +00:0078106.61,MFE,q,2017-11-21,18H 48M 17S,2017-11-21T00:01:17Z,MFE2017-11-21 00:01:17,Tuesday,0,1.3,0,10,5,6.61,Intro to Derivatives|Derivatives Basics,Derivatives Basics|Introduction to Derivatives,66,77,69.25,10,15,FALSE,5.38,1.36,6.26,MFE2017-11-21 00:01:17,MFE,2017-11-21T00:01:17Z,0.871103093359205,NA
2017-11-21 00:01:17.1090237 +00:008678.74,MFE,q,2017-11-21,18H 48M 17S,2017-11-21T00:01:17Z,MFE2017-11-21 00:01:17,Tuesday,0,1.4333333333333333,1,7,1,8.74,Comparing Contracts|Comparing Options,Introduction to Forwards and Options|Options,66,77,69.25,10,15,FALSE,5.38,1.36,6.26,MFE2017-11-21 00:01:17,MFE,2017-11-21T00:01:17Z,0.871103093359205,NA
2017-11-20 23:09:01.1378874 +00:0024633.81,MFE,q,2017-11-20,18H 48M 1S,2017-11-20T23:09:01Z,MFE2017-11-20 23:09:01,Monday,0,4.1,1,3,1,3.81,Gap Option,Exotic Options,65,76,43.05,5,10,FALSE,5.38,1.36,6.26,MFE2017-11-20 23:09:01,MFE,2017-11-20T23:09:01Z,4.72986022167736,NA
2017-11-20 23:09:01.1378874 +00:0038243.79,MFE,q,2017-11-20,18H 48M 1S,2017-11-20T23:09:01Z,MFE2017-11-20 23:09:01,Monday,0,6.366666666666666,1,4,5,3.79,Gap Option,Exotic Options,65,76,43.05,5,10,FALSE,5.38,1.36,6.26,MFE2017-11-20 23:09:01,MFE,2017-11-20T23:09:01Z,4.72986022167736,NA
2017-11-20 23:09:01.1378874 +00:0057153.91,MFE,q,2017-11-20,18H 48M 1S,2017-11-20T23:09:01Z,MFE2017-11-20 23:09:01,Monday,0,9.516666666666667,1,5,4,3.91,Gap Option,Exotic Options,65,76,43.05,5,10,FALSE,5.38,1.36,6.26,MFE2017-11-20 23:09:01,MFE,2017-11-20T23:09:01Z,4.72986022167736,NA
2017-11-20 23:09:01.1378874 +00:0059115.77,MFE,q,2017-11-20,18H 48M 1S,2017-11-20T23:09:01Z,MFE2017-11-20 23:09:01,Monday,0,9.85,1,1,5,5.77,Overnight Profit,Risk Management Technique - Delta Hedging|Market-making and Delta-Hedging|Market-making and Delta-Hedging|Market-making and Delta-Hedging,65,76,43.05,5,10,FALSE,5.38,1.36,6.26,MFE2017-11-20 23:09:01,MFE,2017-11-20T23:09:01Z,4.72986022167736,NA
2017-11-20 23:09:01.1378874 +00:0079325.57,MFE,q,2017-11-20,18H 48M 1S,2017-11-20T23:09:01Z,MFE2017-11-20 23:09:01,Monday,0,13.216666666666667,1,2,3,5.57,Overnight Profit,Market-making and Delta-Hedging|Market-making and Delta-Hedging|Market-making and Delta-Hedging|Risk Management Technique - Delta Hedging,65,76,43.05,5,10,FALSE,5.38,1.36,6.26,MFE2017-11-20 23:09:01,MFE,2017-11-20T23:09:01Z,4.72986022167736,NA
2017-11-20 18:25:13.6410894 +00:001049135.9,MFE,"NA",2017-11-20,18H 48M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,1,17.483333333333334,NA,13,NA,5.9,Modeling Stock Prices with the Lognormal Distribution,Lognormal Distribution,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00109104.43,MFE,"NA",2017-11-20,18H 48M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,1.8166666666666667,1,10,3,4.43,Fitting Stock Prices to a Lognormal Distribution,Lognormal Distribution,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00130206.94,MFE,"NA",2017-11-20,18H 48M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,2.1666666666666665,0,20,3,6.94,Forwards: Basics,Introduction to Forwards and Options,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00145146.33,MFE,"NA",2017-11-20,18H 48M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,2.4166666666666665,1,14,5,6.33,Stock Put-Call Parity|Put-Call Parity,Put-Call Parity,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:0016964.66,MFE,"NA",2017-11-20,18H 48M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,2.816666666666667,1,6,1,4.66,Option Basics|Options: Basics,Options|Introduction to Forwards and Options,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00176282.17,MFE,"NA",2017-11-20,18H 48M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,2.933333333333333,1,28,2,2.17,Exchange Options|Exchange Options|Exchange Options|Put-Call Parity,Put-Call Parity|Put-Call Parity|Put-Call Parity|Rational Valuation of Derivative Securities,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00181273.63,MFE,"NA",2017-11-20,18H 48M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,3.0166666666666666,1,27,4,3.63,Futures,Financial Forwards and Futures,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00185164.17,MFE,"NA",2017-11-20,18H 48M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,3.0833333333333335,1,16,1,4.17,Early Exercise of American Options & Time to Expiry|Comparing Options|Early Exercise of American Options & Time to Expiry|Early Exercise of American Options & Time to Expiry,Comparing Options|Rational Valuation of Derivative Securities|Comparing Options|Comparing Options,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00192115.42,MFE,"NA",2017-11-20,18H 48M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,3.2,1,11,4,5.42,Control Variate Method|Variance Reduction Techniques: Control Variate Method|Variance Reduction Techniques: Control Variate Method|Variance Reduction Techniques: Control Variate Method,Variance Reduction Techniques|Monte Carlo Valuation|Monte Carlo Valuation|Monte Carlo Valuation,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00211215.49,MFE,"NA",2017-11-20,18H 48M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,3.5166666666666666,0,21,4,5.49,Insurance Strategies|Basic Insurance Strategies,Insurance and Hedging|Option Strategies and Risk Management,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:0024156.54,MFE,"NA",2017-11-20,18H 48M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,4.016666666666667,1,5,2,6.54,The Black-Scholes Formula,Black-Scholes Pricing Model,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00252155.1,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,4.2,1,15,1,5.1,Binomial Tree Models for Interest Rates: The Black-Derman-Toy Model|Binomial Tree Models for Interest Rates: The Black-Derman-Toy Model|The Black-Derman-Toy Model|Binomial Tree Models for Interest Rates: The Black-Derman-Toy Model,Interest Rate Models|Interest Rate Models|Binomial Tree Models for Interest Rates|Interest Rate Models,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:0025423.79,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,4.233333333333333,1,2,2,3.79,Black Formula,Interest Rate Models,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:0025613.73,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,4.266666666666667,1,1,1,3.73,Put-Call Parity|Forwards,Put-Call Parity|Financial Forwards and Futures,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00262224.34,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,4.366666666666666,1,22,3,4.34,Simulate Derivative Instruments,Monte Carlo Valuation,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00263254.19,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,4.383333333333334,1,25,3,4.19,Exchange Option,Exotic Options,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00308244.89,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,5.133333333333334,1,24,5,4.89,Option Pricing,Binomial Trees,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00313123.97,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,1,5.216666666666667,1,12,4,3.97,Binomial Tree Models for Interest Rates: Binomial Trees,Interest Rate Models|Interest Rate Models|Interest Rate Models|Binomial Tree Models for Interest Rates,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:0032294.75,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,5.366666666666666,0,9,4,4.75,Option Combinations,Option Strategies and Risk Management|Options,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00336304.63,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,5.6,1,30,1,4.63,Option Pricing,Binomial Trees,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00343293.96,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,5.716666666666667,1,29,2,3.96,Intro to Derivatives|Derivatives Basics,Derivatives Basics|Introduction to Derivatives,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00364264.36,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,6.066666666666666,1,26,2,4.36,True Probabilities and Rates of Return|True Probabilities and Rates of Return|True Probabilities and Rates of Return|True probabilities and rates of return,Binomial Trees,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:0041245.83,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,6.866666666666666,1,4,2,5.83,Option Greeks,Black-Scholes Pricing Model,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:0042675.89,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,7.1,1,7,1,5.89,Modeling Stock Prices with the Lognormal Distribution,Lognormal Distribution,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00461195.22,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,7.683333333333334,0,19,5,5.22,Different Strike Prices|Different Strike Prices|Different Strike Prices|Comparing Options,Comparing Options|Comparing Options|Comparing Options|Rational Valuation of Derivative Securities,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00545175.31,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,1,9.083333333333334,0,17,4,5.31,Other Exotic Options|Other Exotic Options|Forward Start Option|Other Exotic Options,Exotic Options,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00553234.48,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,9.216666666666667,1,23,2,4.48,Delta-Gamma-Theta Approximation,Market-making and Delta-Hedging,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:0062085.74,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,0,10.333333333333334,1,8,1,5.74,Option Combinations,Options|Option Strategies and Risk Management,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:00697186.01,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,1,11.616666666666667,0,18,4,6.01,Option Greeks,Black-Scholes Pricing Model,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:25:13.6410894 +00:0094335.51,MFE,"NA",2017-11-20,15H 13M 13S,2017-11-20T18:25:13Z,MFE2017-11-20 18:25:13,Monday,1,15.716666666666667,NA,3,NA,5.51,Overnight Profit,Market-making and Delta-Hedging|Market-making and Delta-Hedging|Risk Management Technique - Delta Hedging|Market-making and Delta-Hedging,1,75,178.63333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:25:13,MFE,2017-11-20T18:25:13Z,0.0328945542706384,NA
2017-11-20 18:23:15.2206940 +00:000106.52,MFE,e,2017-11-20,15H 13M 15S,2017-11-20T18:23:15Z,MFE2017-11-20 18:23:15,Monday,0,0,NA,10,NA,6.52,Option Greeks,Black-Scholes Pricing Model,10,74,0.03333333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:23:15,MFE,2017-11-20T18:23:15Z,1.90944190356467,22.340602277914684
2017-11-20 18:23:15.2206940 +00:000115.81,MFE,e,2017-11-20,15H 13M 15S,2017-11-20T18:23:15Z,MFE2017-11-20 18:23:15,Monday,0,0,NA,11,NA,5.81,Variance Reduction Techniques: Control Variate Method|Control Variate Method|Variance Reduction Techniques: Control Variate Method|Variance Reduction Techniques: Control Variate Method,Monte Carlo Valuation|Variance Reduction Techniques|Monte Carlo Valuation|Monte Carlo Valuation,10,74,0.03333333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:23:15,MFE,2017-11-20T18:23:15Z,1.90944190356467,22.340602277914684
2017-11-20 18:23:15.2206940 +00:000126.65,MFE,e,2017-11-20,15H 13M 15S,2017-11-20T18:23:15Z,MFE2017-11-20 18:23:15,Monday,0,0,NA,12,NA,6.65,Modeling Stock Prices with the Lognormal Distribution,Lognormal Distribution,10,74,0.03333333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:23:15,MFE,2017-11-20T18:23:15Z,1.90944190356467,22.340602277914684
2017-11-20 18:23:15.2206940 +00:000136.4,MFE,e,2017-11-20,15H 13M 15S,2017-11-20T18:23:15Z,MFE2017-11-20 18:23:15,Monday,0,0,NA,13,NA,6.4,Option Greeks,Black-Scholes Pricing Model,10,74,0.03333333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:23:15,MFE,2017-11-20T18:23:15Z,1.90944190356467,22.340602277914684
2017-11-20 18:23:15.2206940 +00:000144.21,MFE,e,2017-11-20,15H 13M 15S,2017-11-20T18:23:15Z,MFE2017-11-20 18:23:15,Monday,0,0,NA,14,NA,4.21,True Probabilities and Rates of Return|True Probabilities and Rates of Return|True Probabilities and Rates of Return|True probabilities and rates of return,Binomial Trees,10,74,0.03333333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:23:15,MFE,2017-11-20T18:23:15Z,1.90944190356467,22.340602277914684
2017-11-20 18:23:15.2206940 +00:000156.52,MFE,e,2017-11-20,15H 13M 15S,2017-11-20T18:23:15Z,MFE2017-11-20 18:23:15,Monday,0,0,NA,15,NA,6.52,Antithetic Variate|Variance Reduction Techniques: Other Variance Reduction Techniques|Variance Reduction Techniques: Other Variance Reduction Techniques|Variance Reduction Techniques: Other Variance Reduction Techniques,Variance Reduction Techniques|Monte Carlo Valuation|Monte Carlo Valuation|Monte Carlo Valuation,10,74,0.03333333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:23:15,MFE,2017-11-20T18:23:15Z,1.90944190356467,22.340602277914684
2017-11-20 18:23:15.2206940 +00:000166.44,MFE,e,2017-11-20,15H 13M 15S,2017-11-20T18:23:15Z,MFE2017-11-20 18:23:15,Monday,0,0,NA,16,NA,6.44,Different Strike Prices|Different Strike Prices|Different Strike Prices|Comparing Options,Comparing Options|Comparing Options|Comparing Options|Rational Valuation of Derivative Securities,10,74,0.03333333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:23:15,MFE,2017-11-20T18:23:15Z,1.90944190356467,22.340602277914684
2017-11-20 18:23:15.2206940 +00:000178.69,MFE,e,2017-11-20,15H 13M 15S,2017-11-20T18:23:15Z,MFE2017-11-20 18:23:15,Monday,0,0,NA,17,NA,8.69,Futures|Forwards and Futures,Financial Forwards and Futures|Forwards and Futures,10,74,0.03333333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:23:15,MFE,2017-11-20T18:23:15Z,1.90944190356467,22.340602277914684
2017-11-20 18:23:15.2206940 +00:000186.54,MFE,e,2017-11-20,15H 13M 15S,2017-11-20T18:23:15Z,MFE2017-11-20 18:23:15,Monday,0,0,NA,18,NA,6.54,The Black-Scholes Formula,Black-Scholes Pricing Model,10,74,0.03333333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:23:15,MFE,2017-11-20T18:23:15Z,1.90944190356467,22.340602277914684
2017-11-20 18:23:15.2206940 +00:000196.95,MFE,e,2017-11-20,15H 13M 15S,2017-11-20T18:23:15Z,MFE2017-11-20 18:23:15,Monday,0,0,NA,19,NA,6.95,The Black-Derman-Toy Model|Binomial Tree Models for Interest Rates: The Black-Derman-Toy Model|Binomial Tree Models for Interest Rates: The Black-Derman-Toy Model|Binomial Tree Models for Interest Rates: The Black-Derman-Toy Model,Binomial Tree Models for Interest Rates|Interest Rate Models|Interest Rate Models|Interest Rate Models,10,74,0.03333333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:23:15,MFE,2017-11-20T18:23:15Z,1.90944190356467,22.340602277914684
2017-11-20 18:23:15.2206940 +00:000206.6,MFE,e,2017-11-20,15H 13M 15S,2017-11-20T18:23:15Z,MFE2017-11-20 18:23:15,Monday,0,0,NA,20,NA,6.6,Synthetic Forwards & Put-Call Parity|Put-Call Parity,Option Strategies and Risk Management|Put-Call Parity,10,74,0.03333333333333333,30,NA,FALSE,5.38,1.36,6.26,MFE2017-11-20 18:23:15,MFE,2017-11-20T18:23:15Z,1.90944190356467,22.340602277914684
